Date	  Name      Time      Oil       Aqua
Aug-85    352P      744       1191      1191      
Aug-85    37P       744       2813      2813      
Sep-85    352P      672       950       950       
Sep-85    37P       672       950       950       
Oct-85    352P      144       30        30        
Oct-85    37P       144       170       170       
Nov-85    352P      600       121       121       
Nov-85    37P       720       479       479       
Dec-85    352P      744       143       143       
Dec-85    37P       744       357       357       
Jan-86    352P      720       142       142       
Jan-86    37P       720       358       358       
Feb-86    352P      744       170       170       
Feb-86    37P       744       430       430       
Mar-86    352P      744       171       171       
Mar-86    37P       744       429       429       
Apr-86    352P      720       171       171       
Apr-86    37P       720       429       429       
May-86    352P      744       285       285       
May-86    37P       744       315       315       
Jun-86    352P      720       285       285       
Jun-86    37P       720       315       315       
Jul-86    352P      72        57        57        
Jul-86    37P       744       410       410       
Jul-86    644       456       595       595       
Jul-86    667       144       151       151       
Jul-86    692       24        25        25        
Aug-86    352P      744       1648      1648      
Aug-86    37P       744       2747      2747      
Aug-86    643       360       578       584       
Aug-86    644       744       494       494       
Aug-86    666       480       1228      1240      
Aug-86    667       744       208       692       
Aug-86    692       744       690       690       
Aug-86    693       72        107       114       
Sep-86    352P      696       1678      1678      
Sep-86    37P       696       2793      2793      
Sep-86    643       696       1217      1230      
Sep-86    644       696       502       502       
Sep-86    665       120       136       136       
Sep-86    666       696       1935      1955      
Sep-86    667       24        8         25        
Sep-86    692       696       702       702       
Sep-86    693       696       1129      1204      
Oct-86    352P      744       2106      2106      
Oct-86    370P      48        47        47        
Oct-86    37P       744       3506      3506      
Oct-86    593       288       281       281       
Oct-86    618       288       281       281       
Oct-86    643       744       1527      1543      
Oct-86    644       744       632       632       
Oct-86    665       744       987       987       
Oct-86    666       744       2430      2455      
Oct-86    667       144       85        106       
Oct-86    669       384       375       375       
Oct-86    692       744       883       883       
Oct-86    693       744       1416      1510      
Oct-86    695       696       544       680       
Nov-86    352P      720       1726      1726      
Nov-86    370P      720       305       305       
Nov-86    37P       720       3172      3172      
Nov-86    593       720       1371      1371      
Nov-86    618       720       595       595       
Nov-86    641       96        61        61        
Nov-86    643       720       1381      1395      
Nov-86    644       720       609       609       
Nov-86    664       48        20        20        
Nov-86    665       720       507       507       
Nov-86    666       720       1508      1523      
Nov-86    667       24        24        30        
Nov-86    669       720       595       595       
Nov-86    691       576       305       305       
Nov-86    692       720       725       725       
Nov-86    693       720       381       381       
Nov-86    694       504       267       267       
Nov-86    695       720       448       457       
Dec-86    352P      744       2161      2161      
Dec-86    370P      744       366       366       
Dec-86    37P       744       3963      3963      
Dec-86    593       744       1647      1647      
Dec-86    595       600       1452      1452      
Dec-86    618       744       433       433       
Dec-86    641       744       216       216       
Dec-86    643       744       1659      1676      
Dec-86    644       744       93        466       
Dec-86    664       744       366       366       
Dec-86    665       744       608       608       
Dec-86    666       744       519       1298      
Dec-86    667       744       287       359       
Dec-86    669       744       715       715       
Dec-86    691       744       504       504       
Dec-86    692       744       872       872       
Dec-86    693       744       457       457       
Dec-86    694       744       719       719       
Dec-86    695       744       537       549       
Dec-86    719       168       163       163       
Dec-86    770       168       163       163       
Jan-87    352P      720       1651      1651      
Jan-87    370P      720       391       391       
Jan-87    37P       720       3302      3302      
Jan-87    593       720       1757      1757      
Jan-87    595       624       228       228       
Jan-87    618       648       207       207       
Jan-87    639       96        44        44        
Jan-87    641       720       231       231       
Jan-87    643       720       1143      1155      
Jan-87    644       720       100       503       
Jan-87    664       648       296       296       
Jan-87    665       648       237       237       
Jan-87    666       720       397       992       
Jan-87    667       720       39        385       
Jan-87    669       648       296       296       
Jan-87    691       720       857       857       
Jan-87    692       720       931       931       
Jan-87    693       720       488       488       
Jan-87    694       720       768       768       
Jan-87    695       672       210       214       
Jan-87    719       720       659       659       
Jan-87    770       720       768       768       
Feb-87    352P      744       1162      1162      
Feb-87    370P      744       276       276       
Feb-87    37P       744       2531      2531      
Feb-87    593       744       1117      1117      
Feb-87    618       192       71        71        
Feb-87    639       744       1075      1075      
Feb-87    641       96        21        21        
Feb-87    642       168       95        95        
Feb-87    643       744       959       969       
Feb-87    644       744       71        358       
Feb-87    666       744       421       1054      
Feb-87    667       96        3         35        
Feb-87    668       576       326       326       
Feb-87    670       168       95        95        
Feb-87    691       744       358       358       
Feb-87    692       600       207       207       
Feb-87    693       528       244       244       
Feb-87    694       744       780       780       
Feb-87    719       744       653       653       
Feb-87    770       48        35        35        
Mar-87    352P      744       670       670       
Mar-87    370P      744       239       239       
Mar-87    37P       744       1880      1880      
Mar-87    593       744       969       969       
Mar-87    618       744       237       237       
Mar-87    639       744       1074      1074      
Mar-87    642       744       644       644       
Mar-87    643       744       1116      1128      
Mar-87    644       360       27        148       
Mar-87    645       240       423       450       
Mar-87    664       24        14        17        
Mar-87    666       744       484       1210      
Mar-87    668       744       1209      1209      
Mar-87    670       744       291       364       
Mar-87    691       408       287       287       
Mar-87    692       312       6         115       
Mar-87    694       744       676       676       
Mar-87    696       480       606       606       
Mar-87    718       48        26        26        
Mar-87    719       744       806       806       
Mar-87    746       240       312       312       
Mar-87    769       192       234       312       
Apr-87    352P      720       706       706       
Apr-87    370P      720       253       253       
Apr-87    37P       720       1980      1980      
Apr-87    577       216       342       342       
Apr-87    578       168       236       236       
Apr-87    593       720       1022      1022      
Apr-87    614       672       609       609       
Apr-87    618       720       249       249       
Apr-87    639       720       1132      1132      
Apr-87    642       720       680       680       
Apr-87    643       360       529       536       
Apr-87    645       720       1382      1470      
Apr-87    664       600       501       535       
Apr-87    666       720       510       1275      
Apr-87    668       720       1274      1274      
Apr-87    670       720       307       384       
Apr-87    691       720       565       565       
Apr-87    692       504       8         800       
Apr-87    694       720       712       712       
Apr-87    696       720       990       990       
Apr-87    718       720       426       426       
Apr-87    719       720       850       850       
Apr-87    720       360       441       441       
Apr-87    721       48        28        28        
Apr-87    722       216       294       294       
Apr-87    746       720       1019      1019      
Apr-87    769       720       955       1273      
May-87    352P      744       602       602       
May-87    370P      744       240       240       
May-87    37P       744       1930      1930      
May-87    577       744       844       844       
May-87    578       336       370       370       
May-87    593       739       781       781       
May-87    614       739       566       566       
May-87    618       504       245       245       
May-87    639       739       719       719       
May-87    640       24        23        23        
May-87    642       744       844       844       
May-87    645       739       761       761       
May-87    664       24        1         20        
May-87    666       739       784       784       
May-87    668       720       634       634       
May-87    670       744       603       2413      
May-87    691       744       1086      1086      
May-87    692       24        1         36        
May-87    694       739       784       784       
May-87    696       744       1326      1326      
May-87    718       744       724       724       
May-87    719       739       657       657       
May-87    720       744       724       724       
May-87    721       744       362       362       
May-87    722       744       602       602       
May-87    746       744       602       602       
May-87    769       744       1085      1206      
Jun-87    352P      720       598       598       
Jun-87    370P      720       238       238       
Jun-87    37P       720       1912      1912      
Jun-87    577       720       1384      1384      
Jun-87    578       720       277       277       
Jun-87    579       168       251       251       
Jun-87    593       648       861       861       
Jun-87    594       72        18        18        
Jun-87    614       576       369       369       
Jun-87    618       96        115       115       
Jun-87    639       480       547       547       
Jun-87    640       720       185       185       
Jun-87    642       720       1229      1229      
Jun-87    645       648       1023      1023      
Jun-87    666       672       1147      1147      
Jun-87    668       672       1003      1003      
Jun-87    670       720       653       2613      
Jun-87    691       720       798       798       
Jun-87    694       720       1260      1260      
Jun-87    696       720       1537      1537      
Jun-87    718       600       617       617       
Jun-87    719       720       1537      1537      
Jun-87    720       720       1720      1720      
Jun-87    721       720       430       430       
Jun-87    722       720       1537      1537      
Jun-87    723       456       584       584       
Jun-87    724       144       228       228       
Jun-87    743       240       512       512       
Jun-87    744       696       1783      1783      
Jun-87    746       24        18        18        
Jun-87    747       72        108       108       
Jun-87    748       168       144       144       
Jun-87    749       432       1014      1014      
Jun-87    750       240       358       358       
Jun-87    768       456       973       973       
Jun-87    769       720       890       890       
Jun-87    770       408       871       871       
Jun-87    771       144       246       246       
Jun-87    773       240       614       614       
Jun-87    774       192       385       385       
Jun-87    775       24        26        26        
Jul-87    3005      288       237       237       
Jul-87    3007      216       104       104       
Jul-87    352P      744       633       633       
Jul-87    370P      744       272       272       
Jul-87    37P       744       2081      2081      
Jul-87    577       744       950       950       
Jul-87    578       480       394       394       
Jul-87    579       504       214       214       
Jul-87    593       744       1629      1629      
Jul-87    594       744       272       272       
Jul-87    614       360       329       329       
Jul-87    618       240       291       291       
Jul-87    619       264       200       200       
Jul-87    620       264       200       200       
Jul-87    639       192       72        72        
Jul-87    640       408       75        75        
Jul-87    642       744       340       340       
Jul-87    645       96        37        37        
Jul-87    666       744       2081      2081      
Jul-87    668       696       1752      1752      
Jul-87    670       744       283       1131      
Jul-87    691       744       679       679       
Jul-87    694       744       1583      1583      
Jul-87    696       744       1130      1130      
Jul-87    717       120       73        73        
Jul-87    718       240       154       154       
Jul-87    719       744       972       972       
Jul-87    720       744       723       723       
Jul-87    721       744       679       679       
Jul-87    722       744       904       904       
Jul-87    723       744       1765      1765      
Jul-87    724       744       2148      2148      
Jul-87    743       744       2599      2599      
Jul-87    744       744       1877      1877      
Jul-87    747       744       1583      1583      
Jul-87    748       480       299       299       
Jul-87    749       744       1221      1221      
Jul-87    750       24        26        26        
Jul-87    768       744       1086      1086      
Jul-87    769       744       769       769       
Jul-87    770       456       175       175       
Jul-87    771       744       1175      1175      
Jul-87    772       48        2         19        
Jul-87    773       744       2036      2036      
Jul-87    774       744       815       815       
Jul-87    775       744       2081      2081      
Aug-87    3005      192       123       123       
Aug-87    3007      744       415       415       
Aug-87    352P      744       530       530       
Aug-87    370P      744       230       230       
Aug-87    37P       744       1708      1708      
Aug-87    577       744       970       970       
Aug-87    578       168       83        83        
Aug-87    579       648       121       121       
Aug-87    593       744       1385      1385      
Aug-87    594       744       277       277       
Aug-87    595       504       140       156       
Aug-87    599       24        19        19        
Aug-87    614       312       90        90        
Aug-87    618       744       1385      1385      
Aug-87    619       744       693       693       
Aug-87    620       744       831       831       
Aug-87    639       312       74        74        
Aug-87    640       240       127       127       
Aug-87    642       744       415       415       
Aug-87    644       96        24        24        
Aug-87    645       744       277       277       
Aug-87    666       744       1847      1847      
Aug-87    668       744       1615      1615      
Aug-87    670       744       213       576       
Aug-87    674       336       396       396       
Aug-87    691       744       646       646       
Aug-87    694       744       1385      1385      
Aug-87    696       744       1847      1847      
Aug-87    698       360       480       480       
Aug-87    699       336       188       188       
Aug-87    700       360       558       558       
Aug-87    717       744       530       530       
Aug-87    718       24        11        11        
Aug-87    719       744       1039      1039      
Aug-87    720       744       970       970       
